model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_resets,learn_steps,test_resets,test_steps,extension_rule,separation_rule,time
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035095349999210157
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003558581999868693
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003486881000071662
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035380570000143052
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.00360679400000663
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003524460999869916
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.00360294300003261
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003453412999988359
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003552185999978974
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035670530000970757
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035762940001404786
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003511250999963522
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035330890000295767
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035618920001070364
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003582592000157092
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003506548999894221
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003590364000046975
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035382779999508784
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035586420001436636
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003503439000041908
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035757299999659153
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035726009998597874
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.00357694299987088
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034715130000222416
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003573813999992126
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035393339999245654
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035602499999640713
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035051079998993373
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035359150001568196
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003603670000074999
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035046889997829567
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003538386999935028
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003555796000000555
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034950480001043616
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0036106260001815826
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003526300999965315
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035447710001790256
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035123850000218226
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035514689998308313
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003498310999930254
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035222829999383976
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003514534999794705
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035265379999600555
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035244309999598045
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035315000000082364
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003530052999849431
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003583908000109659
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035050080000473827
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003538478999871586
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003515612000001056
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035760089999712363
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035324959999343264
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,268,437,0,0,ADS,SepSeq,0.009846355000036056
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.010083194999879197
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.01003782499992667
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.01038354199999958
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.01007326999979341
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.010006953999891266
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.01036401700002898
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.010313406000022951
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.009980058999872199
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.009972813000103997
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.010412045000066428
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.010605701000031331
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.010125108000011096
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.01001523900004031
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.010326293999924019
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.010411401000055776
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.010038651000058962
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.010009578000108377
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.01033660999996755
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.010374671000136004
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.01000373299984858
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.010014755999918634
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.010310704999938025
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.010337237999920035
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.01001216800000293
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.010096042999975907
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.01056365099998402
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.010671750000028624
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.009978907000004256
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.010043685000027835
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.010391067000000476
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.01032602999998744
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.010038549000000785
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,269,441,0,0,ADS,SepSeq,0.010021935000168014
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.010396214999900621
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,271,451,0,0,ADS,SepSeq,0.010331143000030352
