model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_queries,learn_steps,test_queries,test_steps,time
LoesTarget,6,3,18,3,102,404,797,4745,0.0024365229764953256
LoesTarget,6,3,18,3,103,409,797,4746,0.0025001270114444196
LoesTarget,6,3,18,3,102,404,797,4745,0.002380291000008583
LoesTarget,6,3,18,3,102,427,797,4902,0.0025025329960044473
LoesTarget,6,3,18,3,102,381,758,4363,0.0023031480086501688
LoesTarget,6,3,18,2,80,313,679,3950,0.0018576350121293217
LoesTarget,6,3,18,3,102,381,758,4363,0.0022769409988541156
LoesTarget,6,3,18,3,102,404,797,4745,0.002396778989350423
LoesTarget,6,3,18,3,103,386,758,4364,0.002303413988556713
LoesTarget,6,3,18,3,102,381,758,4363,0.002285654016304761
LoesTarget,6,3,18,3,102,383,758,4364,0.002309050993062556
LoesTarget,6,3,18,3,103,386,758,4364,0.0022646870056632906
LoesTarget,6,3,18,3,102,381,758,4363,0.0022870379907544702
LoesTarget,6,3,18,3,102,404,797,4745,0.0024083089956548065
LoesTarget,6,3,18,3,103,409,797,4746,0.0023679060104768723
LoesTarget,6,3,18,3,102,404,797,4745,0.0023649140202905983
LoesTarget,6,3,18,3,102,404,797,4745,0.002414477989077568
LoesTarget,6,3,18,2,80,313,679,3950,0.0018607749952934682
LoesTarget,6,3,18,3,102,381,758,4363,0.0022837030119262636
LoesTarget,6,3,18,3,102,404,797,4745,0.002385853003943339
LoesTarget,6,3,18,3,102,404,797,4745,0.0024340770032722503
LoesTarget,6,3,18,3,102,403,797,4745,0.0023941310064401478
LoesTarget,6,3,18,3,103,386,758,4364,0.0023066020221449435
LoesTarget,6,3,18,3,103,411,758,4483,0.0023313849815167487
LoesTarget,6,3,18,3,103,409,797,4746,0.0024106589844450355
LoesTarget,6,3,18,3,102,404,797,4745,0.0024480439897160977
LoesTarget,6,3,18,3,102,426,836,5127,0.0024897370021790266
LoesTarget,6,3,18,3,102,381,758,4363,0.002371129987295717
LoesTarget,6,3,18,3,102,381,758,4363,0.002283465990331024
LoesTarget,6,3,18,2,80,313,679,3950,0.0018536179850343615
LoesTarget,6,3,18,3,102,381,758,4363,0.00227598097990267
LoesTarget,6,3,18,3,102,381,758,4363,0.0022594330075662583
LoesTarget,6,3,18,3,102,381,758,4363,0.0023294849961530417
LoesTarget,6,3,18,3,102,405,797,4746,0.0024658539914526045
LoesTarget,6,3,18,3,102,381,758,4363,0.0023019829823169857
LoesTarget,6,3,18,3,102,383,758,4364,0.0023369030095636845
LoesTarget,6,3,18,3,102,404,797,4745,0.002419778989860788
LoesTarget,6,3,18,3,102,426,836,5127,0.0025067150127142668
LoesTarget,6,3,18,3,102,381,758,4363,0.0022649590100627393
LoesTarget,6,3,18,3,102,426,836,5127,0.0025117589975707233
LoesTarget,6,3,18,3,102,381,758,4363,0.0023237130080815405
Rabo_learnresult_SecureCode_Aut_fix,6,15,90,1,1365,5640,307350,1883700,0.8113595999893732
Rabo_learnresult_SecureCode_Aut_fix,6,15,90,1,1365,5640,307350,1883700,0.7965794779884163
Rabo_learnresult_SecureCode_Aut_fix,6,15,90,1,1365,5640,307350,1883700,0.8006514320150018
Rabo_learnresult_SecureCode_Aut_fix,6,15,90,1,1365,5640,307350,1883700,0.8023124360188376
Rabo_learnresult_SecureCode_Aut_fix,6,15,90,1,1365,5640,307350,1883700,0.7996324139821809
Rabo_learnresult_SecureCode_Aut_fix,6,15,90,1,1365,5640,307350,1883700,0.813316854997538
Rabo_learnresult_SecureCode_Aut_fix,6,15,90,1,1365,5640,307350,1883700,0.800527733983472
Rabo_learnresult_SecureCode_Aut_fix,6,15,90,1,1365,5640,307350,1883700,0.8144143439712934
Rabo_learnresult_SecureCode_Aut_fix,6,15,90,1,1365,5640,307350,1883700,0.8219296210154425
Rabo_learnresult_SecureCode_Aut_fix,6,15,90,1,1365,5640,307350,1883700,0.8095444919890724
Rabo_learnresult_SecureCode_Aut_fix,6,15,90,1,1365,5640,307350,1883700,0.8123491209989879
Rabo_learnresult_SecureCode_Aut_fix,6,15,90,1,1365,5640,307350,1883700,0.8250082830199972
Rabo_learnresult_SecureCode_Aut_fix,6,15,90,1,1365,5640,307350,1883700,0.8040243059804197
Rabo_learnresult_SecureCode_Aut_fix,6,15,90,1,1365,5640,307350,1883700,0.8109934529929888
Rabo_learnresult_SecureCode_Aut_fix,6,15,90,1,1365,5640,307350,1883700,0.8023172119865194
Rabo_learnresult_SecureCode_Aut_fix,6,15,90,1,1365,5640,307350,1883700,0.8162781560095027
