model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_resets,learn_steps,test_resets,test_steps,extension_rule,seperation_rule,time
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,110,370,22380,122001,SepSeq,SepSeq,0.06413887700182386
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22375,121977,SepSeq,SepSeq,0.06917782299933606
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22376,121984,SepSeq,SepSeq,0.06825446099901455
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,87,294,22375,121978,SepSeq,SepSeq,0.06530687399936141
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22376,121982,SepSeq,SepSeq,0.060595334998652106
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22386,122024,SepSeq,SepSeq,0.06554052199862781
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22380,121997,SepSeq,SepSeq,0.06107588300073985
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22374,121974,SepSeq,SepSeq,0.0667109909991268
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22378,121992,SepSeq,SepSeq,0.061967487999936566
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,119,397,22376,121982,SepSeq,SepSeq,0.06813503000012133
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22380,121996,SepSeq,SepSeq,0.061277348999283276
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22389,122035,SepSeq,SepSeq,0.06512203300007968
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22379,121993,SepSeq,SepSeq,0.06198159999985364
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,74,226,22375,121979,SepSeq,SepSeq,0.0670247689995449
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22379,121994,SepSeq,SepSeq,0.06044126300184871
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22375,121979,SepSeq,SepSeq,0.0659210579979117
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22378,121991,SepSeq,SepSeq,0.062463225000101374
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,120,400,22380,121998,SepSeq,SepSeq,0.06846287799999118
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,149,529,22380,122001,SepSeq,SepSeq,0.06635821600139025
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22374,121974,SepSeq,SepSeq,0.0667850770005316
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22374,121974,SepSeq,SepSeq,0.061432749000232434
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22390,122037,SepSeq,SepSeq,0.06535041499955696
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,109,366,22391,122043,SepSeq,SepSeq,0.061749259002681356
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,147,523,22384,122016,SepSeq,SepSeq,0.06929984800081002
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22374,121975,SepSeq,SepSeq,0.06236282900135848
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,109,367,22376,121984,SepSeq,SepSeq,0.06678515199746471
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,108,363,22377,121986,SepSeq,SepSeq,0.06311589100005222
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,106,383,22375,121981,SepSeq,SepSeq,0.07052931599901058
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22374,121974,SepSeq,SepSeq,0.0626113489997806
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,73,224,22377,121986,SepSeq,SepSeq,0.06378637099987827
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,106,356,22377,121989,SepSeq,SepSeq,0.060969895999733126
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22377,121984,SepSeq,SepSeq,0.06410566699923947
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22378,121992,SepSeq,SepSeq,0.060684571999445325
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,134,480,22379,121996,SepSeq,SepSeq,0.06835665900143795
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,73,224,22374,121974,SepSeq,SepSeq,0.06081797099977848
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,365,22376,121983,SepSeq,SepSeq,0.06481516799976816
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,364,22374,121975,SepSeq,SepSeq,0.06051705899881199
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,73,224,22375,121980,SepSeq,SepSeq,0.06385720799880801
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,108,364,22376,121985,SepSeq,SepSeq,0.06380753700068453
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,282,490,22376,121982,ADS,SepSeq,0.07246514700091211
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,279,460,22378,121991,ADS,SepSeq,0.07077316799768596
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,273,442,22381,122003,ADS,SepSeq,0.07095206799931475
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,273,444,22380,121997,ADS,SepSeq,0.0694578000002366
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,272,440,22379,121996,ADS,SepSeq,0.07191281000268646
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,277,454,22378,121991,ADS,SepSeq,0.07072404000064125
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,276,456,22377,121988,ADS,SepSeq,0.07266547499966691
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,276,456,22377,121988,ADS,SepSeq,0.07175729699883959
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,282,487,22374,121975,ADS,SepSeq,0.07269426600032602
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,278,458,22376,121983,ADS,SepSeq,0.07678241699977661
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,273,444,22380,121999,ADS,SepSeq,0.06852364199949079
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,275,454,22374,121975,ADS,SepSeq,0.06974671200077864
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,276,452,22375,121980,ADS,SepSeq,0.07225141500020982
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,273,442,22379,121995,ADS,SepSeq,0.07053848600116908
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,273,442,22381,122002,ADS,SepSeq,0.07322769800157403
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,272,440,22375,121978,ADS,SepSeq,0.0804958529988653
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,276,452,22376,121982,ADS,SepSeq,0.08970656500241603
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,276,444,22379,121996,ADS,SepSeq,0.07753846699779388
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,280,468,22375,121980,ADS,SepSeq,0.08532791899779113
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,279,462,22374,121975,ADS,SepSeq,0.07723871899725054
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,277,455,22377,121988,ADS,SepSeq,0.07341414199981955
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,272,440,22378,121990,ADS,SepSeq,0.08085133399799815
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,276,464,22385,122018,ADS,SepSeq,0.08285579000221333
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,280,468,22381,122002,ADS,SepSeq,0.08675445199696696
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,283,492,22377,121988,ADS,SepSeq,0.08600200200089603
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,276,457,22375,121979,ADS,SepSeq,0.07428629800051567
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,282,487,22374,121975,ADS,SepSeq,0.07406101600281545
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,272,440,22377,121986,ADS,SepSeq,0.07270171500204015
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,276,456,22379,121994,ADS,SepSeq,0.07272768300026655
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,278,457,22374,121975,ADS,SepSeq,0.07137268799851881
