model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_resets,learn_steps,test_resets,test_steps,extension_rule,separation_rule,time,seed,tree_size
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034000140003627166,1534,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003425736002100166,1541,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003446667004027404,1596,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0033968639982049353,1607,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003397402004338801,1665,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003437882005528081,1836,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003390498000953812,1989,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034115700036636554,2015,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003428675998293329,2143,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0033890549966599792,2147,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003371441998751834,2199,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003406741001526825,2221,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034051629991154186,2263,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.00337396399845602,2283,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034529919939814135,2365,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034070409965352155,2370,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003371790997334756,2408,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034711679982137866,2495,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003379837995453272,2528,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003412614001717884,2554,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034180959992227145,2558,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003402294998522848,2561,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034052409973810427,2588,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035100480017717928,2610,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.00349430999631295,2619,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003486326000711415,2679,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0036142459939583205,2773,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.00355392799974652,2816,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0037494330026675016,2950,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003489415001240559,2966,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034356570031377487,2969,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003379756999493111,2983,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003450028998486232,3044,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034333820003666915,3101,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034682069963309914,3131,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034438299990142696,3147,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003413489001104608,3169,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034253960038768128,3209,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034385600010864437,3211,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003442360997723881,3213,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034354320014244877,3235,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034502709968364798,3265,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034153750020777807,3350,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034163019954576157,3383,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034311389972572215,3415,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034245400020154193,3444,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034288419992662966,3496,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003403324997634627,3528,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034075120056513697,3588,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0033944490060093813,3658,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003414230995986145,3743,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003364986005180981,3769,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.00341971200396074,3806,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003469274000963196,3809,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034245099959662184,3900,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003412430000025779,3980,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034124899975722656,4094,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034105469967471436,4179,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003427108997129835,4358,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034190929945907556,4370,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0033653930004220456,4447,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003398177999770269,4467,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003435771999647841,4535,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003409944001759868,4550,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.00344750899967039,4588,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034280569961993024,4632,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034177320048911497,4646,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034214549959870055,4689,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003432181998505257,4782,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003413885999179911,4845,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034264620044268668,4948,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003431568999076262,5102,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034743319993140176,5409,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008146263004164211,81,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008167755004251376,100,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008083652995992452,158,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008111404997180216,216,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008139053999911994,245,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008401872000831645,359,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008485015998303425,366,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008554372005164623,470,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008689101006893907,560,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008381759995245375,578,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008287197997560725,580,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008473923000565264,597,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008414274001552258,661,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008533029998943675,689,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008536205001291819,692,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008626123999420088,783,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008590309000283014,818,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,95,313,0,0,ADS,SepSeq,0.008635869999125134,879,147
