name,learned,rounds,num_states,num_inputs,learn_inputs,learn_resets,test_inputs,test_resets,ads_score,learning_algorithm,time,seed
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,457,132,7752,1592,0,lsharp_Nothing_Ads,0.013979143,3806
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,354,108,17440,3370,0,lsharp_Nothing_Ads,0.046601343,3809
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,366,113,12848,2768,0,lsharp_Nothing_Ads,0.02449867,3900
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,388,118,6706,1385,0,lsharp_Nothing_Ads,0.024907436,3980
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,388,118,14780,3384,0,lsharp_Nothing_Ads,0.027459947,4094
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,419,125,11756,2586,0,lsharp_Nothing_Ads,0.015160481,4179
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,348,108,18028,3958,0,lsharp_Nothing_Ads,0.02488914,4358
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,361,112,17440,3958,0,lsharp_Nothing_Ads,0.025007502,4370
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,380,116,16360,3582,0,lsharp_Nothing_Ads,0.031675626,4447
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,412,124,7920,1816,0,lsharp_Nothing_Ads,0.017247833,4467
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,387,118,14332,3342,0,lsharp_Nothing_Ads,0.029507483,4535
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,403,123,3440,808,0,lsharp_Nothing_Ads,0.015706476,4550
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,365,113,11672,2572,0,lsharp_Nothing_Ads,0.019532613,4588
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,324,102,16152,3188,0,lsharp_Nothing_Ads,0.026400554,4632
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,266,90,28724,6002,0,lsharp_Nothing_Ads,0.026024451,4646
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,359,109,25824,5584,0,lsharp_Nothing_Ads,0.044310345,4689
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,434,128,11280,2376,0,lsharp_Nothing_Ads,0.015008234,4782
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,428,128,8424,1802,0,lsharp_Nothing_Ads,0.013207673,4845
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,333,106,21836,4560,0,lsharp_Nothing_Ads,0.022525669,4948
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,343,108,13800,2992,0,lsharp_Nothing_Ads,0.015188545,5102
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,406,124,9074,2237,0,lsharp_Nothing_Ads,0.012628634,5409
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,288,84,13156,2558,0,lsharp_SepSeq_SepSeq,0.006546041,81
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,328,93,10978,2391,0,lsharp_SepSeq_SepSeq,0.006756489,100
